Unidade de Despesa;Fonte de Recurso;Subfunção;Programa;Ação;Elemento;Dotação Inicial (R$);Dotação Atual (R$);Empenhado (R$);Liquidado (R$);Pago (R$);Pago Restos (R$)
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;1 - Tesouro;122 - Administração Geral;100 - Suporte Administrativo;5272 - Apoio Técnico Administrativo;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;1 - Tesouro;122 - Administração Geral;100 - Suporte Administrativo;5272 - Apoio Técnico Administrativo;339018 - Auxílio Financeiro a Estudantes;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;1 - Tesouro;122 - Administração Geral;100 - Suporte Administrativo;5272 - Apoio Técnico Administrativo;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;1 - Tesouro;122 - Administração Geral;100 - Suporte Administrativo;5272 - Apoio Técnico Administrativo;339033 - Passagens e despesas com Locomoção;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;1 - Tesouro;122 - Administração Geral;100 - Suporte Administrativo;5272 - Apoio Técnico Administrativo;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;1095,26;0,00;0,00;0,00;65482,09
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;1 - Tesouro;122 - Administração Geral;100 - Suporte Administrativo;5272 - Apoio Técnico Administrativo;339039 - Outros Serviços de Terceiros - PJ;0,00;123573,69;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;1 - Tesouro;122 - Administração Geral;100 - Suporte Administrativo;5272 - Apoio Técnico Administrativo;449051 - Obras e instalações;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;1 - Tesouro;122 - Administração Geral;100 - Suporte Administrativo;5272 - Apoio Técnico Administrativo;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;1 - Tesouro;364 - Ensino Superior;1043 - Ensino Público Superior;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;339014 - Diárias - Civil;0,00;81652,25;81050,00;79398,58;79398,58;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;1 - Tesouro;364 - Ensino Superior;1043 - Ensino Público Superior;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;339018 - Auxílio Financeiro a Estudantes;0,00;84000,00;26000,00;26000,00;26000,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;1 - Tesouro;364 - Ensino Superior;1043 - Ensino Público Superior;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;339030 - Material de Consumo;0,00;218,04;0,00;0,00;0,00;0,00
