Unidade de Despesa;Grupo Orçamentário;Fonte de Recurso;Subfunção;Programa;Ação;Elemento;Dotação Inicial (R$);Dotação Atual (R$);Empenhado (R$);Liquidado (R$);Pago (R$);Pago Restos (R$)
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339092 - Despesas de Exercícios Anteriores;0,00;0,00;0,00;0,00;0,00;0,00
73 - Centro de Tecnologia da Informação de São Carlos;0 - Básica;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
12 - Faculdade de Economia, Administração e Contabilidade;0 - Básica;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5276 - Procedimentos de Alta Complexidade nas Áreas de Anomalias Craniofaciais/Deficiência Auditiva;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;0,00;0,00;0,00;0,00;0,00;0,00
17 - Faculdade de Medicina de Ribeirão Preto;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;319013 - Obrigações Patronais;0,00;0,00;0,00;0,00;0,00;0,00
17 - Faculdade de Medicina de Ribeirão Preto;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339030 - Material de Consumo;0,00;33975,92;32539,58;23848,92;23511,26;0,00
17 - Faculdade de Medicina de Ribeirão Preto;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;0,00;0,00;0,00;0,00;0,00
17 - Faculdade de Medicina de Ribeirão Preto;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
17 - Faculdade de Medicina de Ribeirão Preto;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339039 - Outros Serviços de Terceiros - PJ;0,00;61895,18;51824,90;27209,90;27209,90;17461,00
17 - Faculdade de Medicina de Ribeirão Preto;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339050 - Serviços de Utilidade Pública;0,00;588,30;588,30;587,30;587,30;0,00
17 - Faculdade de Medicina de Ribeirão Preto;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339088 - Despesas com Tecnologia da Informação;0,00;820,00;470,00;470,00;470,00;0,00
17 - Faculdade de Medicina de Ribeirão Preto;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339092 - Despesas de Exercícios Anteriores;0,00;3845,93;3845,93;3845,93;3845,93;0,00
17 - Faculdade de Medicina de Ribeirão Preto;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;449051 - Obras e instalações;0,00;0,00;0,00;0,00;0,00;0,00
17 - Faculdade de Medicina de Ribeirão Preto;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
17 - Faculdade de Medicina de Ribeirão Preto;179 - Convênios;5 - Recursos vinculados Federais;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
23 - Faculdade de Odontologia;174 - Acréscimos Orc;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;0 - Básica;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339018 - Auxílio Financeiro a Estudantes;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;0 - Básica;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;0 - Básica;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339093 - Indenizações e Restituições;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;0 - Básica;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;1 - Manutenção de Edifícios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;179 - Convênios;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339035 - Serviços de Consultoria;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339033 - Passagens e despesas com Locomoção;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339035 - Serviços de Consultoria;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339093 - Indenizações e Restituições;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;179 - Convênios;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;179 - Convênios;5 - Recursos vinculados Federais;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;179 - Convênios;5 - Recursos vinculados Federais;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339033 - Passagens e despesas com Locomoção;0,00;0,00;0,00;0,00;0,00;0,00
6 - Faculdade de Saúde Pública;179 - Convênios;5 - Recursos vinculados Federais;302 - Assistência Hospitalar e Ambulatorial;930 - Atendimento Integral e Descentralizado no SUS/SP;5274 - Assistência Médica, Hospitalar e Ambulatorial;339035 - Serviços de Consultoria;0,00;0,00;0,00;0,00;0,00;0,00
